"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked At Home","Total Population:","Total Population: More than 5 Years","Total Population: More than 10 Years","Total Population: More than 15 Years","Total Population: More than 18 Years","Total Population: More than 25 Years","Total Population: More than 35 Years","Total Population: More than 45 Years","Total Population: More than 55 Years","Total Population: More than 65 Years","Total Population: More than 75 Years","Total Population: More than 85 Years","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"06073000100","Census Tract 1, San Diego County, California","ACSSF","ca","140","00","0009138",,,,,"06","073",,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000100","Census Tract 1",,,,1208,931,881,50,0,0,5,46,0,226,2956,2634,2513,2358,2295,2221,2048,1643,1266,949,355,67,160990,2956,2529,2294,0,0,117,0,4,114,427,329,0,0,16,12,12,58
"06073000201","Census Tract 2.01, San Diego County, California","ACSSF","ca","140","00","0009139",,,,,"06","073",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000201","Census Tract 2.01",,,,1130,798,748,50,9,0,7,110,11,195,2309,2213,2125,1946,1902,1847,1544,1307,960,706,276,180,94629,2309,2186,1905,9,0,129,0,0,143,123,76,0,0,0,0,0,47
"06073000202","Census Tract 2.02, San Diego County, California","ACSSF","ca","140","00","0009140",,,,,"06","073",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000202","Census Tract 2.02",,,,2567,2039,1914,125,85,18,0,27,15,383,4116,4069,3991,3879,3773,3684,2706,1805,1278,759,335,75,99651,4116,3403,2958,20,0,253,3,0,169,713,403,0,0,0,0,218,92
"06073000301","Census Tract 3.01, San Diego County, California","ACSSF","ca","140","00","0009141",,,,,"06","073",,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000301","Census Tract 3.01",,,,1611,1167,1151,16,82,29,0,69,29,235,2250,2184,2119,2119,2088,1961,1345,954,600,335,86,0,82788,2250,1816,1465,52,0,121,0,33,145,434,290,0,0,0,0,121,23
"06073000302","Census Tract 3.02, San Diego County, California","ACSSF","ca","140","00","0009142",,,,,"06","073",,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000302","Census Tract 3.02",,,,2099,1472,1417,55,96,0,3,267,22,239,3042,2948,2912,2912,2912,2499,1894,1310,969,622,380,138,71712,3042,2401,2241,57,0,80,0,3,20,641,314,67,3,0,0,134,123
"06073000400","Census Tract 4, San Diego County, California","ACSSF","ca","140","00","0009143",,,,,"06","073",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000400","Census Tract 4",,,,2633,1903,1684,219,140,0,57,118,99,316,3607,3586,3586,3586,3540,3339,1649,1174,627,337,112,33,79336,3607,2840,2022,168,0,526,0,19,105,767,289,0,0,0,0,294,184
"06073000500","Census Tract 5, San Diego County, California","ACSSF","ca","140","00","0009144",,,,,"06","073",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000500","Census Tract 5",,,,1816,1260,1196,64,100,16,18,53,0,369,3045,2874,2790,2740,2680,2493,1915,1160,921,466,161,44,93409,3045,2434,2176,13,11,153,0,8,73,611,164,0,37,13,0,95,302
"06073000600","Census Tract 6, San Diego County, California","ACSSF","ca","140","00","0009145",,,,,"06","073",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000600","Census Tract 6",,,,2325,1786,1661,125,12,16,9,94,17,391,3196,3118,3064,2959,2929,2822,1902,1247,748,340,130,54,88255,3196,2581,1965,227,0,237,0,8,144,615,377,43,0,0,0,82,113
"06073000700","Census Tract 7, San Diego County, California","ACSSF","ca","140","00","0009146",,,,,"06","073",,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000700","Census Tract 7",,,,2747,2071,2004,67,15,16,97,53,89,406,4342,4145,4040,3994,3994,3950,2436,1762,1217,884,365,79,90910,4342,3620,2945,106,0,347,0,35,187,722,391,0,0,0,0,232,99
"06073000800","Census Tract 8, San Diego County, California","ACSSF","ca","140","00","0009147",,,,,"06","073",,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000800","Census Tract 8",,,,3464,2429,2189,240,89,55,68,118,0,705,5230,5021,4851,4768,4682,4439,2651,1733,1171,540,146,53,80615,5230,4059,3381,302,0,253,12,0,111,1171,560,45,0,0,0,298,268
"06073000901","Census Tract 9.01, San Diego County, California","ACSSF","ca","140","00","0009148",,,,,"06","073",,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000901","Census Tract 9.01",,,,2715,2260,1966,294,93,79,27,27,0,229,3310,3235,3219,3174,3157,2997,1657,758,521,120,14,14,92520,3310,1994,1564,180,0,156,0,0,94,1316,772,0,0,0,0,279,265
"06073000902","Census Tract 9.02, San Diego County, California","ACSSF","ca","140","00","0009149",,,,,"06","073",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000902","Census Tract 9.02",,,,1395,1172,1172,0,49,0,0,30,10,134,2208,2169,2155,2122,2081,2032,1471,988,651,427,197,55,66135,2208,1876,1358,202,17,263,0,0,36,332,184,0,0,0,0,148,0
"06073001000","Census Tract 10, San Diego County, California","ACSSF","ca","140","00","0009150",,,,,"06","073",,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001000","Census Tract 10",,,,2990,2240,2165,75,78,28,14,164,14,452,4327,4053,3939,3846,3816,3692,2014,1314,763,438,194,27,75664,4327,2765,2121,206,0,235,0,0,203,1562,764,0,116,0,0,163,519
"06073001100","Census Tract 11, San Diego County, California","ACSSF","ca","140","00","0009151",,,,,"06","073",,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001100","Census Tract 11",,,,2130,1553,1426,127,20,10,15,1,11,520,3083,2906,2900,2834,2766,2564,1524,831,481,256,115,7,83859,3083,2484,1602,329,14,205,0,49,285,599,375,14,16,0,0,78,116
"06073001201","Census Tract 12.01, San Diego County, California","ACSSF","ca","140","00","0009152",,,,,"06","073",,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001201","Census Tract 12.01",,,,1478,851,804,47,103,0,0,0,0,524,2478,2310,2211,2116,2098,2011,1007,471,305,211,40,0,71875,2478,1177,585,370,0,222,0,0,0,1301,1032,0,0,0,0,12,257
"06073001202","Census Tract 12.02, San Diego County, California","ACSSF","ca","140","00","0009153",,,,,"06","073",,,"001202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001202","Census Tract 12.02",,,,2237,1731,1603,128,198,0,0,59,0,249,3132,3039,2972,2942,2942,2574,1270,868,508,171,49,0,75306,3132,2225,1582,402,0,158,0,0,83,907,391,0,47,69,0,287,113
"06073001301","Census Tract 13.01, San Diego County, California","ACSSF","ca","140","00","0009154",,,,,"06","073",,,"001301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001301","Census Tract 13.01",,,,2153,1671,1524,147,89,0,77,14,0,302,2761,2645,2598,2583,2521,2237,1174,544,261,147,74,30,88587,2761,1830,1433,65,0,222,0,0,110,931,342,0,28,0,0,308,253
"06073001302","Census Tract 13.02, San Diego County, California","ACSSF","ca","140","00","0009155",,,,,"06","073",,,"001302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001302","Census Tract 13.02",,,,2611,2022,1748,274,98,20,0,0,0,471,3329,3258,3258,3159,3128,2891,963,671,423,165,60,27,74787,3329,2309,1742,186,0,138,0,14,229,1020,410,0,80,103,0,247,180
"06073001400","Census Tract 14, San Diego County, California","ACSSF","ca","140","00","0009156",,,,,"06","073",,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001400","Census Tract 14",,,,2370,1566,1495,71,25,0,25,113,169,472,3515,3298,3215,3158,3150,2881,2147,1361,848,435,113,45,81852,3515,2931,2558,49,0,157,0,0,167,584,291,35,0,0,0,85,173
"06073001500","Census Tract 15, San Diego County, California","ACSSF","ca","140","00","0009157",,,,,"06","073",,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001500","Census Tract 15",,,,2850,2306,2112,194,28,0,23,180,19,294,3908,3703,3638,3581,3545,3364,2038,1323,791,431,128,27,89844,3908,3155,2372,146,14,206,0,0,417,753,390,21,0,18,0,154,170
"06073001600","Census Tract 16, San Diego County, California","ACSSF","ca","140","00","0009158",,,,,"06","073",,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001600","Census Tract 16",,,,3031,2411,2192,219,224,0,11,29,23,333,5625,5323,4772,4541,4489,4059,2669,1761,1107,675,161,0,53938,5625,2779,1395,877,0,358,37,0,112,2846,1051,126,258,16,0,449,946
"06073001700","Census Tract 17, San Diego County, California","ACSSF","ca","140","00","0009159",,,,,"06","073",,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001700","Census Tract 17",,,,3069,2532,2414,118,10,13,20,107,0,387,4244,4045,3989,3824,3626,3443,2153,1293,753,130,40,25,78433,4244,2685,2110,219,0,147,27,0,182,1559,579,0,56,0,0,412,512
"06073001801","Census Tract 18.01, San Diego County, California","ACSSF","ca","140","00","0009160",,,,,"06","073",,,"001801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001801","Census Tract 18.01",,,,1152,968,962,6,22,0,29,5,0,128,1847,1711,1616,1462,1414,1323,858,473,324,224,79,43,58022,1847,1072,621,126,0,164,0,0,161,775,523,0,0,0,0,179,73
"06073001802","Census Tract 18.02, San Diego County, California","ACSSF","ca","140","00","0009161",,,,,"06","073",,,"001802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001802","Census Tract 18.02",,,,2462,1695,1582,113,97,0,138,9,129,394,3269,3242,3140,3118,3118,2914,1424,949,725,116,8,0,70758,3269,2043,1557,76,0,178,0,0,232,1226,503,0,89,0,0,159,475
"06073001900","Census Tract 19, San Diego County, California","ACSSF","ca","140","00","0009162",,,,,"06","073",,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001900","Census Tract 19",,,,1938,1384,1309,75,39,7,16,32,17,443,2993,2820,2740,2732,2705,2597,1876,1323,970,520,145,30,115829,2993,2475,2113,42,0,142,3,9,166,518,244,0,6,0,21,93,154
"06073002001","Census Tract 20.01, San Diego County, California","ACSSF","ca","140","00","0009163",,,,,"06","073",,,"002001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002001","Census Tract 20.01",,,,1605,1068,1017,51,0,9,0,28,19,481,3236,3076,3003,2904,2828,2749,2434,2084,1422,889,364,125,165096,3236,2778,2395,50,0,153,19,0,161,458,221,0,13,12,0,67,145
"06073002002","Census Tract 20.02, San Diego County, California","ACSSF","ca","140","00","0009164",,,,,"06","073",,,"002002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002002","Census Tract 20.02",,,,1619,1194,1169,25,15,9,21,36,11,333,2592,2404,2333,2266,2183,2069,1589,1083,714,307,56,36,145436,2592,2059,1681,127,14,162,8,0,67,533,386,0,0,0,0,80,67
"06073002100","Census Tract 21, San Diego County, California","ACSSF","ca","140","00","0009165",,,,,"06","073",,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002100","Census Tract 21",,,,3407,2650,2409,241,129,0,14,0,174,440,5214,5059,4999,4854,4639,4228,2535,1633,861,297,69,26,77610,5214,3452,2276,730,4,348,0,15,79,1762,912,0,117,0,0,365,368
"06073002201","Census Tract 22.01, San Diego County, California","ACSSF","ca","140","00","0009166",,,,,"06","073",,,"002201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002201","Census Tract 22.01",,,,1462,940,840,100,246,0,51,64,22,139,3376,3279,3002,2794,2623,2286,1621,1406,796,510,59,9,27647,3376,1641,373,609,0,526,0,0,133,1735,656,0,51,0,0,912,116
"06073002202","Census Tract 22.02, San Diego County, California","ACSSF","ca","140","00","0009167",,,,,"06","073",,,"002202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002202","Census Tract 22.02",,,,2744,2186,1791,395,355,0,0,88,21,94,5807,5311,4861,4463,4160,3527,2543,1738,950,589,328,90,50556,5807,1868,321,428,0,1001,0,88,30,3939,2448,74,0,0,0,1007,410
"06073002301","Census Tract 23.01, San Diego County, California","ACSSF","ca","140","00","0009168",,,,,"06","073",,,"002301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002301","Census Tract 23.01",,,,1762,1021,870,151,72,86,0,59,0,524,2908,2758,2586,2490,2379,2228,1474,716,436,304,91,23,62399,2908,1720,834,521,0,279,36,0,50,1188,745,35,21,0,0,318,69
"06073002302","Census Tract 23.02, San Diego County, California","ACSSF","ca","140","00","0009169",,,,,"06","073",,,"002302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002302","Census Tract 23.02",,,,2991,1916,1734,182,633,0,55,281,38,68,6673,6140,5685,5567,5391,4491,3295,2352,1534,672,189,50,36296,6673,3159,375,409,0,2364,0,0,11,3514,1567,105,70,0,0,1272,500
"06073002401","Census Tract 24.01, San Diego County, California","ACSSF","ca","140","00","0009170",,,,,"06","073",,,"002401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002401","Census Tract 24.01",,,,2496,1937,1706,231,199,0,45,55,69,191,4955,4708,4453,4002,3683,3252,2008,1134,673,311,49,10,59096,4955,2191,1405,204,0,389,0,0,193,2764,1712,8,12,19,0,665,348
"06073002402","Census Tract 24.02, San Diego County, California","ACSSF","ca","140","00","0009171",,,,,"06","073",,,"002402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002402","Census Tract 24.02",,,,2283,1917,1422,495,212,0,0,60,12,82,4879,4649,4272,3928,3672,3233,2459,1670,1031,440,198,56,47390,4879,1536,332,577,0,619,0,0,8,3343,1299,21,183,10,0,1142,688
"06073002501","Census Tract 25.01, San Diego County, California","ACSSF","ca","140","00","0009172",,,,,"06","073",,,"002501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002501","Census Tract 25.01",,,,2639,2114,1790,324,252,0,0,8,80,185,5034,4768,4371,4046,3876,3277,2034,1436,898,386,128,56,59028,5034,1752,680,260,0,736,0,14,62,3282,1429,409,94,39,20,870,421
"06073002502","Census Tract 25.02, San Diego County, California","ACSSF","ca","140","00","0009173",,,,,"06","073",,,"002502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002502","Census Tract 25.02",,,,3061,2317,1933,384,146,0,7,22,34,535,7034,6666,6142,5397,5258,4790,3607,2330,1385,636,327,50,74631,7034,3842,2006,707,22,629,7,81,390,3192,1249,19,111,0,0,908,905
"06073002601","Census Tract 26.01, San Diego County, California","ACSSF","ca","140","00","0009174",,,,,"06","073",,,"002601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002601","Census Tract 26.01",,,,2489,2225,1701,524,49,10,0,23,11,171,5551,5099,4651,4207,3885,3359,2232,1599,1044,455,143,27,42000,5551,2360,419,270,0,1421,0,0,250,3191,1598,0,44,22,0,1008,519
"06073002602","Census Tract 26.02, San Diego County, California","ACSSF","ca","140","00","0009175",,,,,"06","073",,,"002602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002602","Census Tract 26.02",,,,2121,1718,1325,393,158,0,0,0,0,245,4794,4453,4155,3670,3397,2923,2312,1636,995,369,200,65,46599,4794,2310,794,591,0,904,0,0,21,2484,1040,0,103,0,0,1056,285
"06073002702","Census Tract 27.02, San Diego County, California","ACSSF","ca","140","00","0009176",,,,,"06","073",,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002702","Census Tract 27.02",,,,2715,2280,2010,270,70,0,0,33,9,323,5609,5314,5000,4592,4297,3582,2508,1757,972,513,246,95,67250,5609,4065,1756,851,0,971,9,0,478,1544,844,21,0,41,16,119,503
"06073002703","Census Tract 27.03, San Diego County, California","ACSSF","ca","140","00","0009177",,,,,"06","073",,,"002703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002703","Census Tract 27.03",,,,3560,3053,2713,340,34,19,0,31,12,411,6982,6760,6577,6335,5929,4758,3766,2532,1593,819,367,148,77700,6982,4008,1964,616,12,1273,0,0,143,2974,1779,38,0,56,0,812,289
"06073002705","Census Tract 27.05, San Diego County, California","ACSSF","ca","140","00","0009178",,,,,"06","073",,,"002705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002705","Census Tract 27.05",,,,1649,1402,1034,368,112,0,0,12,0,123,4158,3929,3843,3604,3451,3056,2789,2401,1667,1222,379,56,52500,4158,3048,728,506,0,1637,0,0,177,1110,407,0,54,14,0,477,158
"06073002707","Census Tract 27.07, San Diego County, California","ACSSF","ca","140","00","0009179",,,,,"06","073",,,"002707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002707","Census Tract 27.07",,,,1952,1546,1413,133,205,0,0,77,10,114,5553,5090,4716,4216,4003,3408,2184,1383,837,371,135,69,44485,5553,3294,622,711,43,944,247,0,727,2259,938,0,164,0,0,707,450
"06073002708","Census Tract 27.08, San Diego County, California","ACSSF","ca","140","00","0009180",,,,,"06","073",,,"002708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002708","Census Tract 27.08",,,,2120,1631,1285,346,179,24,28,47,0,211,5080,4775,4300,3877,3616,3023,2183,1493,915,489,174,34,28890,5080,2755,534,931,7,1178,0,0,105,2325,1142,32,0,0,0,763,388
"06073002709","Census Tract 27.09, San Diego County, California","ACSSF","ca","140","00","0009181",,,,,"06","073",,,"002709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002709","Census Tract 27.09",,,,1612,1303,1051,252,221,0,0,0,15,73,3972,3818,3410,2877,2672,2232,1613,1004,542,240,110,22,37609,3972,1587,374,694,0,407,0,0,112,2385,1101,20,0,0,0,548,716
"06073002710","Census Tract 27.10, San Diego County, California","ACSSF","ca","140","00","0009182",,,,,"06","073",,,"002710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002710","Census Tract 27.10",,,,1790,1457,1186,271,177,0,0,5,56,95,3771,3548,3195,2994,2836,2552,1775,1383,834,408,83,13,58833,3771,2390,523,566,0,1293,0,0,8,1381,591,117,66,0,0,500,107
"06073002711","Census Tract 27.11, San Diego County, California","ACSSF","ca","140","00","0009183",,,,,"06","073",,,"002711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002711","Census Tract 27.11",,,,1452,1315,1124,191,11,37,7,8,7,67,3423,3063,2820,2522,2424,1972,1265,790,488,222,61,20,68520,3423,2166,467,590,0,831,43,70,165,1257,374,15,108,0,0,448,312
"06073002712","Census Tract 27.12, San Diego County, California","ACSSF","ca","140","00","0009184",,,,,"06","073",,,"002712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002712","Census Tract 27.12",,,,2430,2121,1975,146,161,0,0,70,0,78,5678,5326,4921,4543,4312,3710,2525,1933,1362,743,319,68,44007,5678,3058,751,1453,0,749,0,26,79,2620,946,0,0,17,0,1010,647
"06073002801","Census Tract 28.01, San Diego County, California","ACSSF","ca","140","00","0009185",,,,,"06","073",,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002801","Census Tract 28.01",,,,1003,581,536,45,51,0,0,265,55,51,2516,2461,2377,2353,2341,704,629,467,347,189,76,63,43333,2516,2162,1507,166,0,252,96,0,141,354,217,0,0,0,0,112,25
"06073002803","Census Tract 28.03, San Diego County, California","ACSSF","ca","140","00","0009186",,,,,"06","073",,,"002803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002803","Census Tract 28.03",,,,2992,2458,2243,215,20,0,0,197,0,317,4872,4705,4466,4335,4286,3944,2525,2104,1558,733,274,40,63732,4872,3616,2047,372,0,960,0,15,222,1256,414,0,78,0,0,438,326
"06073002804","Census Tract 28.04, San Diego County, California","ACSSF","ca","140","00","0009187",,,,,"06","073",,,"002804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002804","Census Tract 28.04",,,,2496,1797,1735,62,41,8,27,98,138,387,5659,5556,5366,5211,5169,2356,1757,1486,1048,425,120,10,72114,5659,4633,3472,282,167,438,0,16,258,1026,638,33,0,0,0,83,272
"06073002902","Census Tract 29.02, San Diego County, California","ACSSF","ca","140","00","0009188",,,,,"06","073",,,"002902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002902","Census Tract 29.02",,,,3167,2482,2170,312,214,35,54,61,0,321,6166,5815,5593,5326,5275,3864,2722,2048,1518,848,377,83,56569,6166,4338,2819,279,0,906,46,27,261,1828,1073,108,0,0,0,402,245
"06073002903","Census Tract 29.03, San Diego County, California","ACSSF","ca","140","00","0009189",,,,,"06","073",,,"002903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002903","Census Tract 29.03",,,,2298,2092,1917,175,112,15,0,12,19,48,4224,3832,3617,3453,3388,3007,2105,1436,932,402,160,41,83146,4224,2577,1542,271,0,452,50,0,262,1647,730,3,0,54,0,695,165
"06073002904","Census Tract 29.04, San Diego County, California","ACSSF","ca","140","00","0009190",,,,,"06","073",,,"002904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002904","Census Tract 29.04",,,,3824,3046,2609,437,109,0,0,247,51,371,9844,9447,9379,9178,9162,2698,1477,1042,617,257,142,48,32839,9844,8117,5971,883,0,871,38,84,270,1727,1110,33,0,24,0,331,229
"06073002905","Census Tract 29.05, San Diego County, California","ACSSF","ca","140","00","0009191",,,,,"06","073",,,"002905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073002905","Census Tract 29.05",,,,2490,2049,1853,196,157,0,7,31,0,246,4541,4282,4077,3836,3728,2973,2306,1626,1035,503,70,21,59167,4541,3309,1834,556,0,413,0,97,409,1232,564,16,0,0,0,101,551
"06073003001","Census Tract 30.01, San Diego County, California","ACSSF","ca","140","00","0009192",,,,,"06","073",,,"003001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073003001","Census Tract 30.01",,,,2538,1930,1568,362,123,0,0,209,52,224,4949,4498,4271,3834,3770,2928,2212,1480,887,631,316,96,85703,4949,2792,652,1387,10,228,301,2,212,2157,992,30,5,0,0,438,692
"06073003003","Census Tract 30.03, San Diego County, California","ACSSF","ca","140","00","0009193",,,,,"06","073",,,"003003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073003003","Census Tract 30.03",,,,2429,2251,1825,426,24,28,0,0,0,126,5588,5321,4904,4630,4439,3682,2836,2052,1335,785,260,54,74426,5588,2862,1019,903,29,604,0,174,133,2726,1397,82,59,0,0,494,694
"06073003004","Census Tract 30.04, San Diego County, California","ACSSF","ca","140","00","0009194",,,,,"06","073",,,"003004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073003004","Census Tract 30.04",,,,2160,1858,1647,211,196,0,0,0,63,43,5456,5045,4769,4208,3976,3320,2391,1542,838,386,144,33,56324,5456,1356,350,723,0,173,0,0,110,4100,2082,305,0,100,0,724,889
"06073003101","Census Tract 31.01, San Diego County, California","ACSSF","ca","140","00","0009195",,,,,"06","073",,,"003101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073003101","Census Tract 31.01",,,,1887,1572,1284,288,164,0,0,0,0,151,4089,3875,3523,3207,3154,2677,2077,1553,1111,480,198,59,74265,4089,1803,122,1011,0,571,0,29,70,2286,1182,14,0,0,8,916,166
"06073003103","Census Tract 31.03, San Diego County, California","ACSSF","ca","140","00","0009196",,,,,"06","073",,,"003103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073003103","Census Tract 31.03",,,,2786,2230,2074,156,115,11,0,11,57,362,6069,5686,5313,4957,4872,4164,3313,2503,1832,1227,528,86,82977,6069,3523,629,1779,0,659,21,0,435,2546,739,98,0,0,0,1170,539
"06073003105","Census Tract 31.05, San Diego County, California","ACSSF","ca","140","00","0009197",,,,,"06","073",,,"003105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073003105","Census Tract 31.05",,,,2390,2217,2079,138,68,11,0,0,0,94,5203,4757,4298,4132,4108,3564,2587,1729,1279,597,151,52,97796,5203,1739,775,423,8,452,11,0,70,3464,1594,0,0,0,0,1516,354
